player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev
"Pendrith, Taylor",150,Inf,Inf,-0.583,+50000,-0.917,+100000,-0.833,+150000,-0.750,,0.00,Inf,-0.583,+100000,-0.833,,0.00,Inf,-0.583,+80000,-0.867,,0.00,Inf,-0.583,+100000,-0.833,,0.00,,0.00
"Theegala, Sahith",150,Inf,Inf,-0.677,+50000,-0.935,+100000,-0.871,+125000,-0.838,,0.00,Inf,-0.677,+100000,-0.871,,0.00,Inf,-0.677,+80000,-0.897,,0.00,Inf,-0.677,+100000,-0.871,,0.00,,0.00
"Lee, Min Woo",150,Inf,+150000,-0.850,+50000,-0.950,+100000,-0.900,+125000,-0.875,,0.00,+150000,-0.850,+100000,-0.900,,0.00,Inf,-0.750,+90000,-0.910,,0.00,Inf,-0.750,,0.00,,0.00,,0.00
"Horschel, Billy",150,Inf,Inf,-0.844,+50000,-0.969,+100000,-0.937,Inf,-0.844,,0.00,Inf,-0.844,+100000,-0.937,,0.00,Inf,-0.750,+100000,-0.937,,0.00,Inf,-0.687,+100000,-0.937,,0.00,,0.00
"Stevens, Sam",150,Inf,Inf,-0.854,+50000,-0.971,+100000,-0.942,Inf,-0.854,,0.00,Inf,-0.854,+100000,-0.942,,0.00,Inf,-0.883,+90000,-0.947,,0.00,Inf,-0.854,+100000,-0.942,,0.00,,0.00
"Berger, Daniel",150,Inf,+150000,-0.925,+50000,-0.975,+100000,-0.950,+100000,-0.950,,0.00,+150000,-0.925,+100000,-0.950,,0.00,Inf,-0.875,+80000,-0.960,,0.00,Inf,-0.875,+100000,-0.950,,0.00,,0.00
"Bhatia, Akshay",150,Inf,Inf,-0.937,+50000,-0.987,+100000,-0.975,Inf,-0.950,,0.00,Inf,-0.937,+100000,-0.975,,0.00,Inf,-0.900,+90000,-0.977,,0.00,+150000,-0.962,+100000,-0.975,,0.00,,0.00
"Homa, Max",150,Inf,Inf,-0.958,+50000,-0.996,+100000,-0.992,,0.00,,0.00,Inf,-0.958,+100000,-0.992,,0.00,Inf,-0.967,+150000,-0.987,,0.00,+150000,-0.987,,0.00,,0.00,,0.00
"Campbell, Brian",150,,Inf,-1.000,+50000,-1.000,+100000,-1.000,,0.00,,0.00,Inf,-1.000,+100000,-1.000,,0.00,Inf,-1.000,+150000,-1.000,,0.00,Inf,-1.000,,0.00,,0.00,,0.00
"Potgieter, Aldrich",150,,Inf,-1.000,+50000,-1.000,+100000,-1.000,Inf,-1.000,,0.00,Inf,-1.000,+100000,-1.000,,0.00,Inf,-1.000,+150000,-1.000,,0.00,Inf,-1.000,,0.00,,0.00,,0.00
"Campos, Rafael",150,,Inf,-1.000,+50000,-1.000,+100000,-1.000,Inf,-1.000,,0.00,Inf,-1.000,+100000,-1.000,,0.00,Inf,-1.000,+150000,-1.000,,0.00,Inf,-1.000,+150000,-1.000,,0.00,,0.00
"Young, Cameron",150,,Inf,-1.000,+50000,-1.000,+100000,-1.000,Inf,-1.000,,0.00,Inf,-1.000,+100000,-1.000,,0.00,Inf,-1.000,+150000,-1.000,,0.00,Inf,-1.000,+150000,-1.000,,0.00,,0.00
