player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Paul, Jeremy",Korn Ferry Tour,222,-1,337,-2,-0.274
"Imahira, Shugo",Other Tours,223,-10,232,-3,-0.274
"Gotterup, Chris",PGA Tour,224,-2,215,-2,-0.276
"Martin, Ben",PGA Tour,225,-18,338,-15,-0.283
"Robinson-Thompson, Brandon",DP World Tour,226,-8,203,-3,-0.284
"List, Luke",PGA Tour,227,-3,144,-4,-0.287
"Suber, Jackson",Korn Ferry Tour,228,18,201,1,-0.292
"Walker, Danny",Korn Ferry Tour,229,-9,279,-5,-0.293
"Lee, Kyounghoon",PGA Tour,230,-18,164,-7,-0.301
"Steele, Brendan",LIV Golf,231,-8,null,0,-0.304
"Fisk, Steven",Korn Ferry Tour,232,0,174,-3,-0.306
"Bryan, Wesley",PGA Tour,233,-7,223,-1,-0.309
"Chacarra, Eugenio",Other Tours,234,-7,298,-5,-0.313
"Ramsay, Richie",DP World Tour,235,16,272,-2,-0.317
"Blair, Zac",PGA Tour,236,-6,188,-7,-0.323
"Shimizu, Taisei",Other Tours,237,-6,294,1,-0.327
"Schneider, Marcel",DP World Tour,238,-5,322,-3,-0.329
"Jang, Yubin",Other Tours,239,-5,152,-4,-0.329
"Higa, Kazuki",Other Tours,240,35,277,30,-0.329
"Na, Kevin",LIV Golf,241,-6,null,0,-0.335
"Kimsey, Nathan",DP World Tour,242,25,429,23,-0.342
"Brown, Daniel",DP World Tour,243,-6,127,-3,-0.351
"Wu, Dylan",PGA Tour,244,-39,234,-4,-0.367
"LaCroix, Frederic",DP World Tour,245,-5,181,-6,-0.367
"Dean, Joe",DP World Tour,246,-5,139,-4,-0.37
"Stenson, Henrik",LIV Golf,247,-4,null,0,-0.375
"Varner III, Harold",LIV Golf,248,-4,null,0,-0.376
"Cink, Stewart",PGA TOUR Champions,249,-2,385,-6,-0.382
"Potgieter, Aldrich",Korn Ferry Tour,250,-1,109,0,-0.385
"Tway, Kevin",PGA Tour,251,1,283,-7,-0.394
"Waring, Paul",DP World Tour,252,-14,119,-5,-0.395
"Kokrak, Jason",LIV Golf,253,0,null,0,-0.395
"Horsfield, Sam",LIV Golf,254,0,null,0,-0.398
"Del Rey, Alejandro",DP World Tour,255,23,157,1,-0.398
"Gutierrez, Ivan Cantero",DP World Tour,256,20,260,1,-0.4
"Montgomery, Taylor",PGA Tour,257,43,225,23,-0.415
"Hardy, Nick",PGA Tour,258,0,313,-4,-0.418
"Smyth, Travis",Other Tours,259,6,268,4,-0.427
"Lemke, Niklas",Challenge Tour,260,1,439,-11,-0.428
"Syme, Connor",DP World Tour,261,-5,205,-4,-0.434
"Jones, Matt",LIV Golf,262,6,null,0,-0.453
"James, Ben",Amateur Events,263,6,null,0,-0.453
"Kinoshita, Ryosuke",Other Tours,264,-28,287,-5,-0.454
"Kaewkanjana, Sadom",Other Tours,265,5,326,-6,-0.46
"Johnston, Andrew",DP World Tour,266,5,414,-6,-0.462
"Vilips, Karl",Korn Ferry Tour,267,37,246,14,-0.464
"Surratt, Caleb",LIV Golf,268,4,317,-4,-0.467
"Duncan, Tyler",PGA Tour,269,43,316,24,-0.467
"Otaegui, Adrian",DP World Tour,270,-4,209,-1,-0.469
"Moore, Ryan",PGA Tour,271,2,296,-6,-0.469
"Micheluzzi, David",DP World Tour,272,-13,196,1,-0.477
"Chappell, Kevin",PGA Tour,273,1,332,-3,-0.478
"Holt, Ian",Korn Ferry Tour,274,76,355,0,-0.488
"Tabuena, Miguel",Other Tours,275,4,291,-3,-0.49
"Streelman, Kevin",PGA Tour,276,4,211,3,-0.496
"Summerhays, Daniel",Korn Ferry Tour,277,4,370,-7,-0.498
"Shipley, Neal",PGA Tour,278,-33,231,0,-0.498
"Nienaber, Wilco",Challenge Tour,279,-31,293,-4,-0.5
"Elvira Mijares, Ignacio",DP World Tour,280,2,198,-5,-0.501
"Koivun, Jackson",Amateur Events,281,2,null,0,-0.507
"Lebioda, Hank",Korn Ferry Tour,282,-27,239,-2,-0.51
"Tosti, Alejandro",PGA Tour,283,-41,193,-3,-0.511
"Mansell, Richard",DP World Tour,284,44,237,14,-0.512
"Rosenmueller, Thomas",Korn Ferry Tour,285,6,208,-5,-0.516
"Higgo, Garrick",PGA Tour,286,-2,325,-8,-0.52
"Scrivener, Jason",DP World Tour,287,-2,290,-7,-0.527
"Lipsky, David",PGA Tour,288,8,170,-6,-0.533
"Snedeker, Brandt",PGA Tour,289,8,416,-18,-0.535
"Wolff, Matthew",LIV Golf,290,-1,null,0,-0.54
"Gilligan, Ian",Amateur Events,291,1,null,0,-0.548
"Redman, Doc",Korn Ferry Tour,292,-30,401,-13,-0.556
"Valimaki, Sami",PGA Tour,293,31,167,2,-0.557
"Laird, Martin",PGA Tour,294,0,280,0,-0.562
"Crocker, Sean",DP World Tour,295,37,274,-8,-0.564
"Kobori, Kazuma",DP World Tour,296,38,354,6,-0.572
"Wiesberger, Bernd",DP World Tour,297,1,226,-3,-0.575
"Goodwin, Noah",Korn Ferry Tour,298,1,364,0,-0.575
"Suri, Julian",Korn Ferry Tour,299,32,458,17,-0.579
"Lee, Chieh-Po",Other Tours,300,1,254,-5,-0.583
"Mullinax, Trey",PGA Tour,301,-24,464,-11,-0.584
"Nyholm, Pontus",Korn Ferry Tour,302,1,425,-7,-0.59
"Gordon, Will",PGA Tour,303,14,329,-4,-0.591
"Bauchou, Zach",Korn Ferry Tour,304,1,295,-4,-0.594
"Peterson, Paul",Korn Ferry Tour,305,14,228,-1,-0.594
"Lashley, Nate",PGA Tour,306,-42,224,-5,-0.595
"Knox, Russell",Korn Ferry Tour,307,-19,374,-4,-0.596
"Widing, Tim",Korn Ferry Tour,308,12,187,-11,-0.6
"Rutherford, Jamie",Challenge Tour,309,-3,297,-3,-0.6
"Hill, Calum",DP World Tour,310,-15,286,-7,-0.604
"Brown, Hamish",Challenge Tour,311,-3,235,7,-0.609
"Harrington, Padraig",PGA TOUR Champions,312,1,382,-7,-0.617
"Morrison, Tommy",Amateur Events,313,1,null,0,-0.618
"Wu, Brandon",PGA Tour,314,-28,339,-7,-0.62
"Green, Gavin",DP World Tour,315,36,336,6,-0.622
"Couvra, Martin",Challenge Tour,316,-23,285,-12,-0.623
"Clements, Todd",DP World Tour,317,42,299,6,-0.626
"Jarvis, Casey",DP World Tour,318,-7,302,-1,-0.627
"NeSmith, Matthew",PGA Tour,319,-3,288,-7,-0.628
"Kaneko, Kota",Other Tours,320,-33,384,-11,-0.628
"Alker, Steven",PGA TOUR Champions,321,-61,null,0,-0.631
"Gonzalez, Emilio",Korn Ferry Tour,322,-13,380,-14,-0.632
"Premlall, Yurav",Other Tours,323,18,472,4,-0.633
"Dickson, Taylor",Korn Ferry Tour,324,-6,204,-9,-0.633
"Whitney, Tom",PGA Tour,325,-15,441,-26,-0.634
"Lee, Richard",Other Tours,326,-4,236,-4,-0.638
"Zanotti, Fabrizio",DP World Tour,327,-4,314,-4,-0.638
"Penge, Marco",DP World Tour,328,93,344,101,-0.639
"Norrman, Vincent",PGA Tour,329,-22,250,-11,-0.642
"Kraft, Kelly",PGA Tour,330,-5,419,-10,-0.646
"Lee, Seungtaek",Other Tours,331,-4,357,-3,-0.653
"Semikawa, Taiga",Other Tours,332,-3,292,-6,-0.656
"Watson, Bubba",LIV Golf,333,-3,null,0,-0.667
"Mouw, William",Korn Ferry Tour,334,-19,192,-5,-0.669
"Vaillant, Tom",DP World Tour,335,-33,340,-12,-0.669
"Reavie, Chez",PGA Tour,336,-3,348,-4,-0.671
"Vincent, Kieran",Other Tours,337,35,373,9,-0.677
"Hadley, Chesson",PGA Tour,338,-2,335,-9,-0.678
"Ballester, Jose Luis",Amateur Events,339,-2,null,0,-0.685
"Schniederjans, Ollie",Korn Ferry Tour,340,-2,267,2,-0.687
"McDowell, Graeme",LIV Golf,341,1,null,0,-0.694
"Lee, Junghwan",Other Tours,342,2,363,-6,-0.7
"Van Paris, Jackson",Amateur Events,343,2,null,0,-0.7
"Paul, Yannik",DP World Tour,344,3,214,-3,-0.707
"Westmoreland, Kyle",Korn Ferry Tour,345,-6,258,-3,-0.709
"Maguire, Michael",Other Tours,346,25,324,14,-0.71
"Winther, Jeff",DP World Tour,347,1,242,-7,-0.711
"Ritchie, JC",Challenge Tour,348,27,null,0,-0.712
"Snyman, Ian",Other Tours,349,85,390,103,-0.716
"Champ, Cameron",PGA Tour,350,-15,451,-20,-0.721
"Bradbury, Dan",DP World Tour,351,-61,184,-7,-0.725
"Taylor, Ben",PGA Tour,352,21,null,0,-0.731
"Pepperell, Eddie",DP World Tour,353,0,391,-5,-0.733
"Molinari, Francesco",PGA Tour,354,-11,492,0,-0.733
"Kinhult, Marcus",DP World Tour,355,0,259,4,-0.74
"Aiken, Thomas",DP World Tour,356,43,397,8,-0.74
"Wilson, Andrew",DP World Tour,357,-1,388,-5,-0.74
"Ravetto, David",DP World Tour,358,12,185,-2,-0.743
"Poulter, Ian",LIV Golf,359,-2,null,0,-0.743
"Mazzoli, Stefano",Other Tours,360,-2,408,-9,-0.748
"Gouveia, Ricardo",DP World Tour,361,-12,351,-4,-0.748
"McGirt, William",PGA Tour,362,-1,null,0,-0.751
"Dou, Zecheng",Korn Ferry Tour,363,1,479,-2,-0.751
"Cockerill, Aaron",DP World Tour,364,19,319,-11,-0.754
"Molinari, Edoardo",DP World Tour,365,76,null,0,-0.756
"Pereira, Mito",LIV Golf,366,-4,null,0,-0.757
"Weiler, Joe",Korn Ferry Tour,367,83,371,58,-0.759
"Kozuma, Jinichiro",Other Tours,368,-5,443,-1,-0.76
"Diaz, Roberto",Korn Ferry Tour,369,-4,null,0,-0.764
"Armitage, Marcus",DP World Tour,370,-4,213,-1,-0.77
"Pak, John",Korn Ferry Tour,371,-3,241,-5,-0.774
"Tuten, Shad",Korn Ferry Tour,372,-18,491,-4,-0.774
"Lamb, Rick",Korn Ferry Tour,373,-52,476,-6,-0.774
"Kho, Taichi",Other Tours,374,49,470,16,-0.792
"Higgs, Harry",PGA Tour,375,-49,176,-3,-0.795
"Crowe, Trace",PGA Tour,376,0,265,-7,-0.799
"Horikawa, Mikumu",Other Tours,377,-37,413,-12,-0.801
"Southgate, Matthew",DP World Tour,378,0,343,-4,-0.806
"Coody, Parker",PGA Tour,379,-19,399,-12,-0.806
"Katsuragawa, Yuto",DP World Tour,380,1,273,-2,-0.812
"Sherwood, Cole",Korn Ferry Tour,381,116,486,0,-0.815
